PreferredName;ShortName;Definition;Source;Comment;SINotation;SIName;DINNotation;ECEName;ECECode;NISTName;IECClassification;IrdiUN;NameOfDedicatedQuantity
kilogram-force per square millimetre;kgf/mm²;not SI conform unit of the pressure with the relation according to NIST: 1 kgf/mm² = 9 806 650 Pa;NIST, Special Publication 811:2008;The English kilopond corresponds to the kilogram-force, abbreviated kgf.;;;kgf mm⁻²;kilogram-force per square millimetre;E41;kilogram-force per square millimeter;;0173-1#05-AAA981#002;mechanical tension
millipascal second per kelvin;mPa·s/K;product of the 0,001-fold of the SI derived unit pascal and the SI base unit second divided by the SI base unit Kelvin;;;mPa·s/K;millipascal second per kelvin;mPa s K⁻¹;millipascal second per kelvin;L15;;;0173-1#05-AAA982#002;temperature-based dynamic viscosity
degree Baume (US heavy);°Bé (US heavy);graduation of the areometer scale, named after Antoine Baumé, for determination of density of fluids according to the Anglo-American system of units, which are heavier than water with the relation: relative density = 140/(°Bé + 130);;There exist several brief descriptions for the unit degree Baumé: degree Baume, degree Baumé, B°, Be°, Bé°, °Bé, partially provided with an additional reference note, if the measured fluid is lighter or heavier than water and in which country this unit will be valid concerning its conversion factors.;;;°Bé (US heavy);degree Baume (US heavy);J15;;;0173-1#05-AAA983#002;density
cubic yard per day;yd³/d;power of the unit yard according to the Anglo-American and the Imperial system of units with the exponent 3 divided by the unit for time day;;;;;yd³ d⁻¹;cubic yard per day;M12;;;0173-1#05-AAA984#002;volume flow rate or volume velocity
tonne per minute kelvin;(t/min)/K;unit ton divided by the product of the unit minute and the SI base unit Kelvin;;;t/(min·K);metric ton per minute kelvin;t min⁻¹ K⁻¹;tonne per minute kelvin;L79;;;0173-1#05-AAA985#002;temperature-based mass flow rate
kilogram-force per square metre;kgf/m²;not SI conform unit of the pressure with the relation according to NIST: 1 kgf/m² = 9,806 65 Pa;NIST, Special Publication 811:2008;The English kilopond corresponds to the kilogram-force, abbreviated kgf.;;;kgf m⁻²;kilogram-force per square metre;B40;kilogram-force per square meter;;0173-1#05-AAA986#002;mechanical tension
degree API;°API;unit, launched by the American Petroleum Institute, for the determination of the density of petroleum at 60 °F (15,56 °C) with the relation: relative density = 141,5/(°API + 131,5);;The formula is only valid for fluids, which are lighter than water.;;;°API;degree API;J13;;;0173-1#05-AAA987#002;density
percent per ten thousand;%/10000;hundredth relating to the co-efficient 10 000;;The composed unit %/10 000 serves to display the dependence of the Reynolds' number, which is used in the fluidics and describes the ratio of inertial forces to viscous forces.;;;% 10⁻⁴;percent per ten thousand;H91;;;0173-1#05-AAA988#002;characteristic number
bushel (UK);bu (UK);unit of the volume (for fluids and for dry measures) according to the Imperial system of units with the relation according to NIST: 1 bu (UK) = 3,636 872·10⁻² m³;;1 bushel (UK) = 8 gallon (UK) = 64 pint (UK) = 2 219,355 6 cubic inch = 36,368 72 litre;;;bu (UK);bushel (UK);BUI;;;0173-1#05-AAA989#002;volume or section modulus
kilogram-force per square centimetre;kgf/cm²;not SI conform unit of the pressure with the relation according to NIST: 1 kgf/cm² = 98 066,5 Pa;NIST, Special Publication 811:2008;The English kilopond corresponds to the kilogram-force, abbreviated kgf.;;;kgf cm⁻²;kilogram-force per square centimetre;E42;kilogram-force per square centimeter;;0173-1#05-AAA990#002;mechanical tension
degree Balling;°Balling;unit named after Karl Balling for the mixing ratio of a soluble dry substance in water at 17,5 °C similar to the percent designation for solutions, in which a solution of 1 g saccharose in 100 g saccharose/water solution corresponds to 1° Balling and respectively a one percent solution;;One degree Brix is almost identically with one degree Balling, the small difference results from the reference temperature of 15,5 °C at the Brix scale and 17,5 °C at the Balling scale. Comparable to degree Brix and degree Balling is degree Plato, which expresses the weight proportion wort in the weight of the beer, whereas the wort is the sum of all substances of content, whose bigger part consists of sugar not yet in the beer fermented . Brief designations for degree Balling like °Bal or °Bg are used rarely.;;;°Balling;degree Balling;J17;;;0173-1#05-AAA991#002;density
kilogram-force;kgf;unit of the force according to the Anglo-American system of units with the relation according to NIST: 1 kilogram-force = 9,806 65 Newton;NIST, Special Publication 811:2008;;;;kgf;kilogram-force;B37;kilogram-force;;0173-1#05-AAA992#002;force
quart (UK);qt (UK liq.);unit of the volume for fluids according to the Imperial system of units with the relation according to NIST: 1 qt (UK liq.) = 1,136 523·10⁻³ m³;;1 quart (UK liq.) = 2 pint (UK) = 8 gill (UK) = 40 fluid ounce (UK) = 69,354 86 cubic inch = 1,136 523 litre;;;qt (UK liq.);quart (UK);QTI;;;0173-1#05-AAA993#002;volume or section modulus
tonne per cubic metre kelvin;(t/m³)/K;1 000-fold of the SI base unit kilogram divided by the product of the power of the SI base unit metre with the exponent 3 and the SI base unit Kelvin;;;t/(m³·K);metric ton per cubic metre kelvin;t m⁻³ K⁻¹;tonne per cubic metre kelvin;L76;;;0173-1#05-AAA994#002;temperature-based density
grain;gr;smallest unit of the mass according to the Imperial system of units with the relation: 1 avoirdupois pound = 7 000 grains, 1 apothecary or troy pound = 5 760 grains;NIST, Special Publication 811:2008;According to the German law on units in measurement, use of this unit in official communications and business transactions within Germany is prohibited.;;;gr;grain;GRN;grain;;0173-1#05-AAA995#002;mass
micropoise;µP;0,000 001-fold of the CGS unit of the dynamic viscosity poise;;According to the German law on units in measurement, use of this unit in official communications and business transactions within Germany is prohibited.;;micropoise;µP;micropoise;J32;;;0173-1#05-AAA996#002;dynamic viscosity
gallon (US liquid) per second;gal (US liq.)/s;unit gallon (US, liq.) according to the Anglo-American system of units divided by the SI base unit second with the relation according to NIST: 1 gal (US, liq.)/s = 3,785 41·10⁻³ m³/s;;;;;gal (US liq.) s⁻¹;gallon (US liquid) per second;K30;;;0173-1#05-AAA997#002;volume flow rate or volume velocity
picosiemens per metre;pS/m;0,000 000 000 001-fold of the SI derived unit Siemens divided by the SI base unit metre;;;pS/m;picosiemens per metre;pS m⁻¹;picosiemens per metre;L42;;;0173-1#05-AAA998#002;conductivity
slug per day;slug/d;unit slug for mass according to an English engineering system divided by the unit day;;According to the German law on units in measurement, use of this unit in official communications and business transactions within Germany is prohibited.;;;slug d⁻¹;slug per day;L63;;;0173-1#05-AAA999#002;mass flow rate
gon;gon;auxiliary unit for the designation of the angle width of plane angles used solely in surveying with the relation according to NIST: 1 gon = 1,570 796·10⁻² rad ;ISO 80000-3:2006 \ ISO 1000:1992 \ NIST, Special Publication 811:2008;A gon is defined as the four hundredth part of the perigon: 1 periogon = 400 gon.;;;gon;gon;A91;gon;;0173-1#05-AAB000#002;plane angle
centinewton metre;cN·m;0,01-fold of the product of the SI derived unit newton and SI base unit metre;;;cN·m;centinewton metre;cN m;centinewton metre;J72;;;0173-1#05-AAB001#002;torque
square foot per second;ft²/s;power of the unit foot according to the Anglo-American and Imperial system of units with the exponent 2 divided by the SI base unit second with the relation according to NIST: 1 ft²/s = 9,290 304·10⁻² m²/s;NIST, Special Publication 811:2008;;;;ft² s⁻¹;square foot per second;S3;square foot per second;;0173-1#05-AAB002#002;kinematic viscosity or diffusion constant or thermal diffusivity
centipoise per bar;cP/bar;0,01-fold of the CGS unit of the dynamic viscosity poise divided by the unit of the pressure bar;;According to the German law on units in measurement, use of this unit in official communications and business transactions within Germany is prohibited.;;;cP bar⁻¹;centipoise per bar;J74;;;0173-1#05-AAB003#002;pressure-based dynamic viscosity
pound-force per square foot;lbf/ft²;unit of the force pound-force according to the Anglo-American and the Imperial system of units divided by the power of the unit foot according the Anglo-American and the Imperial system of units with the exponent 2 with the relation according to NIST: 1 lbf/ft² = 47,880 26 Pa;NIST, Special Publication 811:2008;One foot, measuring 30,48 centimetre, is designated as international foot.;;;lbf ft⁻2;pound-force per square foot;K85;pound-force per square foot;;0173-1#05-AAB004#002;mechanical tension
millipascal second per bar;mPa·s/bar;0,001-fold of the product of the SI derived unit pascal and the SI base unit second divided by the unit of the pressure bar;;;mPa·s/bar;millipascal second per bar;mPa s bar⁻¹;millipascal second per bar;L16;;;0173-1#05-AAB005#002;pressure-based dynamic viscosity
ton short per day;ton (US)/d;unit American ton according to the Anglo-American system of units divided by the unit day with the relation: 1 ton (US)/d = 907,184 7 kg/s;;;;;ton (US) d⁻¹;ton short per day;L88;;;0173-1#05-AAB006#002;mass flow rate
degree Plato;°P;unit named according to Fritz Plato for the mixing ratio of the original gravity in the beer brew at 17,5 °C before the fermentation, similar to the (mass) percentage designation for solutions, in which the solution of 1 g of all soluted, non volatile particles per 100 g first wort (brew) corresponds to 1 degree Plato;;;;;°P;degree Plato;PLA;;;0173-1#05-AAB007#002;density
pound (avoirdupois) per day;lb/d;unit of the mass avoirdupois pound according to the avoirdupois system of units divided by the unit for time day;;;;;lb d⁻¹;pound (avoirdupois) per day;K66;;;0173-1#05-AAB008#002;mass flow rate
gill (UK) per day;gi (UK)/d;unit of the volume gill (UK) for fluids according to the Imperial system of units divided by the unit for time day;;;;;gi (UK) d⁻¹;gill (UK) per day;K32;;;0173-1#05-AAB009#002;volume flow rate or volume velocity
tonne per kelvin;t/K;unit ton divided by the SI base unit Kelvin;;;t/K;metric ton per kelvin;t K⁻¹;tonne per kelvin;L69;;;0173-1#05-AAB010#002;temperature-based mass
foot pound-force per second;ft·lbf/s;product of the unit pound-force according to the Anglo-American system of units and the unit foot according to the Anglo-American and Imperial system of units divided by the SI base unit second with the relation according to NIST: 1 ft·lbf/s = 1,355 818 W;NIST, Special Publication 811:2008;;;;ft lbf s⁻¹;foot pound-force per second;A74;foot pound-force per second;;0173-1#05-AAB011#002;active power
kilobaud;kBd;1 000-fold of the unit baud for the symbol rate in communications engineering and telecommunication;;;;;kBd;kilobaud;K50;;;0173-1#05-AAB012#002;symbol transmission rate
ton long per day;ton (UK)/d;unit British ton according to the Imperial system of units divided by the unit day with the relation: 1 ton (UK)/d = 1 016,047 kg/s;;;;;ton (UK) d⁻¹;ton long per day;L85;;;0173-1#05-AAB013#002;mass flow rate
percent per hundred;%/100;hundredth relating to the co-efficient 100;;The composed unit %/100 serves to display the dependence of the Reynolds' number, which is used in the fluidics and describes the ratio of inertial forces to viscous forces.;;;% 10⁻²;percent per hundred;H93;;;0173-1#05-AAB014#002;characteristic number
foot per minute;ft/min;unit foot divided according to the Anglo-American and Imperial system of units by the unit minute with the relation according to NIST: 1 ft/min = 5,08·10⁻³ m/s;NIST, Special Publication 811:2008;;;;Foot durch Minute;foot per minute;FR;foot per minute;;0173-1#05-AAB015#002;velocity
slug per minute;slug/min;unit slug for the mass according to the English engineering system divided by the unit minute;;According to the German law on units in measurement, use of this unit in official communications and business transactions within Germany is prohibited.;;;slug min⁻¹;slug per minute;L67;;;0173-1#05-AAB016#002;mass flow rate
pint (UK) per minute;pt (UK)/min;unit of the volume pint (UK) (both for fluids and for dry measures) according to the Imperial system of units divided by the unit for time minute;;;;;pt (UK) min⁻¹;pint (UK) per minute;L55;;;0173-1#05-AAB017#002;volume flow rate or volume velocity
percent per bar;%/bar;hundredth relating to the unit bar;;The composed unit %/bar serves to display the dependence of the measurand.;;;% bar⁻¹;percent per bar;H96;;;0173-1#05-AAB018#002;compressibility
gill (US) per minute;gi (US)/min;unit of the volume gill (US) for fluids according to the Anglo-American system of units divided by the unit for time minute;;;;;gi (US) min⁻¹;gill (US) per minute;K38;;;0173-1#05-AAB019#002;volume flow rate or volume velocity
erg per second;erg/s;CGS units of the power with the relations: 1 erg/s = 1 dyn·cm/s = g·cm²/s³ = 0,000 000 1 W;NIST, Special Publication 811:2008;According to the German law on units in measurement, use of this unit in official communications and business transactions within Germany is prohibited.;;;erg s⁻¹;erg per second;A63;erg per second;;0173-1#05-AAB020#002;active power
pint (US liquid) per minute;pt (US liq.)/min;unit of the volume pint (US liquid) according to the Anglo-American system of units divided by the unit for time minute;;;;;pt (US liq.) min⁻¹;pint (US liquid) per minute;L59;;;0173-1#05-AAB021#002;volume flow rate or volume velocity
